datagolf_name,dk_name,sample_size,dk_id,dk_salary,std_dev,tee_time,early_late_wave,scoring_points,finish_points,manual_bump,total_points,value,max_exposure,projected_ownership,lineup_rule
"Van Pelt, Bo","Bo Van Pelt",150,15458891,6200,23.132,N/A,0,40.8,0.5,0,41.2,-0.32,100,4.16666666666667,
"Bozzelli, Dominic","Dominic Bozzelli",150,15458921,6200,25.478,N/A,0,44.9,0.7,0,45.6,-0.19,100,4.16666666666667,
"Cocha, Tommy","Tommy Cocha",150,15458896,6200,24.202,N/A,0,42.7,0.6,0,43.3,-0.26,100,4.16666666666667,
"De Jonge, Brendon","Brendon De Jonge",150,15458900,6100,15.328,N/A,0,29.5,0.1,0,29.6,-0.66,100,4.16666666666667,
"Senden, John","John Senden",150,15458904,6100,18.412,N/A,0,33.7,0.2,0,33.9,-0.53,100,4.16666666666667,
"Bae, Sangmoon","Sang-Moon Bae",150,15458909,6100,26.731,N/A,0,48.6,1,0,49.6,-0.06,100,4.16666666666667,
"Pettersson, Carl","Carl Pettersson",150,15458910,6100,17.121,N/A,0,32.1,0.1,0,32.3,-0.58,100,4.16666666666667,
"Points, D.A.","D.A. Points",150,15458906,6100,16.985,N/A,0,31.7,0.1,0,31.8,-0.6,100,4.16666666666667,
"Graboyes, Luke","Luke Graboyes",103,15458902,6100,13.013,N/A,0,25.9,0,0,26,-0.77,100,4.16666666666667,
"Kim, Michael","Michael Kim",150,15458905,6100,21.633,N/A,0,38.2,0.3,0,38.5,-0.4,100,4.16666666666667,
"Cook, Benny","Ben Cook",33,15458899,6100,13.087,N/A,0,26.9,0.1,0,27,-0.74,100,4.16666666666667,
"Santos, Julio","Julio Santos",71,15458907,6100,13.896,N/A,0,27.4,0,0,27.4,-0.73,100,4.16666666666667,
"Kartrude, Michael","Michael Kartrude",22,15458908,6100,17.391,N/A,0,31.5,0.1,0,31.6,-0.6,100,4.16666666666667,
"Chopra, Daniel","Daniel Chopra",150,15458916,6100,20.591,N/A,0,36.9,0.3,0,37.2,-0.43,100,4.16666666666667,
"Oshrine, Matthew","Matthew Oshrine",150,15458903,6100,19.682,N/A,0,35.5,0.2,0,35.7,-0.48,100,4.16666666666667,
"Rollins, John","John Rollins",150,15458917,6000,19.306,N/A,0,35,0.2,0,35.2,-0.48,100,4.16666666666667,
"Benitez, Isidro","Isidro Benitez",150,15458924,6000,23.990,N/A,0,43,0.6,0,43.5,-0.23,100,4.16666666666667,
"Purdy, Ted","Ted Purdy",150,15458919,6000,14.925,N/A,0,28.6,0.1,0,28.7,-0.68,100,4.16666666666667,
"Henry, J.J.","J.J. Henry",150,15458912,6000,21.886,N/A,0,39.3,0.4,0,39.7,-0.35,100,4.16666666666667,
"Saavedra, Sebastian","Sebastian Saavedra",150,15458926,6000,21.204,N/A,0,37.7,0.3,0,38.1,-0.4,100,4.16666666666667,
"Guerra, Juan Jose","Juan Jose Guerra",150,15458915,6000,19.659,N/A,0,35.2,0.2,0,35.5,-0.48,100,4.16666666666667,
"Bohn, Jason","Jason Bohn",150,15458914,6000,17.953,N/A,0,32.8,0.1,0,32.9,-0.55,100,4.16666666666667,
"Silfa, Hiram","Hiram Silfa",30,15458923,6000,7.775,N/A,0,18.1,0,0,18.1,-1,100,4.16666666666667,
"Olivares, Marcel","Marcel Olivares",4,15458911,6000,12.913,N/A,0,26.2,0,0,26.3,-0.75,100,4.16666666666667,
"Pumarol, Guillermo","Willy Pumarol",150,15458922,6000,18.579,N/A,0,33.6,0.2,0,33.8,-0.53,100,4.16666666666667,
"Trainer, Martin","Martin Trainer",150,15458925,6000,18.987,N/A,0,33.6,0.2,0,33.8,-0.53,100,4.16666666666667,
"McLachlin, Parker","Parker McLachlin",150,15458918,6000,19.546,N/A,0,34.6,0.2,0,34.8,-0.49,100,4.16666666666667,
"Johnson, Richard S.","Richard S Johnson",150,15458913,6000,19.815,N/A,0,35,0.2,0,35.2,-0.48,100,4.16666666666667,
